REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
../data/speech/test/clean/FDHC0_SX299.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FMGD0_SX394_sample_spectrum_spectrum.wav	 1.002	 1.161	 16000	nb16000
../data/speech/test/clean/FDHC0_SI2189.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MCMJ0_SX14_sample_spectrum_spectrum.wav	 0.085	 1.042	 16000	nb16000
../data/speech/test/clean/MDAB0_SI2299.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FDHC0_SI1559_sample_spectrum_spectrum.wav	 0.816	 1.123	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX14.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MDAB0_SX229_sample_spectrum_spectrum.wav	 0.419	 1.069	 16000	nb16000
../data/speech/test/clean/MDAB0_SX139.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MCMJ0_SX374_sample_spectrum_spectrum.wav	 0.283	 1.056	 16000	nb16000
../data/speech/test/clean/FMGD0_SX214.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FDHC0_SX29_sample_spectrum_spectrum.wav	 1.385	 1.278	 16000	nb16000
../data/speech/test/clean/MCMJ0_SI1094.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FDHC0_SX119_sample_spectrum_spectrum.wav	 0.889	 1.137	 16000	nb16000
../data/speech/test/clean/MDAB0_SI1669.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MDAB0_SI1039_sample_spectrum_spectrum.wav	 0.276	 1.055	 16000	nb16000
../data/speech/test/clean/MCMJ0_SI464.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MCMJ0_SI1094_sample_spectrum_spectrum.wav	 2.055	 1.677	 16000	nb16000
../data/speech/test/clean/FELC0_SI756.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FMGD0_SX304_sample_spectrum_spectrum.wav	 1.585	 1.366	 16000	nb16000
../data/speech/test/clean/MDAB0_SX409.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MDAB0_SI2299_sample_spectrum_spectrum.wav	 0.687	 1.102	 16000	nb16000
../data/speech/test/clean/MGRT0_SX10.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MCMJ0_SI602_sample_spectrum_spectrum.wav	 0.651	 1.097	 16000	nb16000
